index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	https://en.wikipedia.org/wiki/Centrarchidae	0	0.20388349514563106	0.8461538461538461	0.0	0.0	0	0	0	0	0	47	0.8567774936061381	0.3142857142857143	0.0	0.44
2	http://creativecommons.org/licenses/by-sa/3.0/	0	0.0	0	0	0.0	0	0	0	0	0	42	0.0	0.0	0.0	0.0
3	https://en.wikipedia.org/wiki/Ocean_sunfish	0	1.1543478260869566	2.615384615384615	0.0	0.0	0	0	0	0	0	120	9.063950876035891	0.6000000000000001	0.0	1.36
4	http://tpwd.texas.gov/landwater/water/aquaticspecies/inland.phtml	0.0	0.0	0.0	0	0	0	0	0	0	0.0	17	0	0.0	0.0	0.0
5	http://fieldguide.mt.gov/displaySpecies.aspx?family=Centrarchidae	0.0	0.0	0	2.3333333333333335	0	0.0	0	0	0	0.0	56	0.0	0.1896551724137931	0.8461538461538461	0.5249999999999999
6	https://www.merriam-webster.com/dictionary/sunfish	0.3088235294117647	0.0	3.0	15.675000000000004	0	0.0	0.0	0	0	0.39375000000000004	28	0.0	0.5526315789473684	0.0	0.8400000000000001
7	http://www.fishandboat.com/Fish/PennsylvaniaFishes/GalleryPennsylvaniaFishes/Pages/Sunfishes.aspx	2.3333333333333335	0.0	2.3333333333333335	4.4506787330316735	0.0	0	0	0	0	0	57	2.9923468283434183	0.24418604651162792	2.3333333333333335	2.3333333333333335
9	http://www.dec.ny.gov/animals/7022.html	0.5121951219512195	0	3.0	2.0183066361556063	0	0.0	0	0	0	0.1794871794871795	5	5.493495260452046	0.0	0.0	0.42857142857142855
10	http://www.dec.ny.gov/animals/84775.html	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	5	0.0	0.0	0.0	0.0
11	http://oceansunfish.org/	0.3177570093457944	0.6749945211483673	0	0	0	0	0	0	0	0.9516129032258065	30	0.0	1.2352941176470589	0.5918203688853247	2.615384615384615
12	http://myfwc.com/research/freshwater/sport-fishes/sunfishes/	0.345679012345679	0.0	0.0	1.0499999999999998	0	0	0	0	0	0	12	0.6129302228266555	0.39622641509433965	0.0	1.0499999999999998
13	https://sunfishsales.com/	0.0	0.0	0	0.21875	0.0	0.0	0	0	0	0.0	10	0.0	1.2352941176470589	0.0	0.4772727272727273
14	http://myfwc.com/research/freshwater/sport-fishes/sunfishes/	0.345679012345679	0.0	0.0	1.0499999999999998	0	0	0	0	0	0	12	0.6129302228266555	0.39622641509433965	0.0	1.0499999999999998
15	http://encyclopedia2.thefreedictionary.com/sunfishes	0.2614107883817427	0.47767165720185856	3.0	8.625	0	0	0	0	0	0.34054054054054056	161	0.0	0.4666666666666667	9.333333333333334	0.7241379310344828
16	https://www.merriam-webster.com/dictionary/sunfishes	0.30000000000000004	0.0	3.0	15.675000000000004	0	0.0	0.0	0	0	0.39375000000000004	28	0.0	0.5249999999999999	0.0	0.7777777777777777
17	http://www.dnr.state.mn.us/fish/sunfish/index.html	0.21428571428571427	0	3.0	0	0.0	1.6153846153846154	0	0	0	0	9	3.1004784688995217	0.5384615384615384	0.0	0.9545454545454546
18	https://huntfish.mdc.mo.gov/fishing/species/sunfish	0.13738317757009347	0.0	3.0	0.0	0	0.0	0	0	0	0	120	0.0	0.48837209302325585	0.0	0.6363636363636364
19	http://oceansunfish.org/lifehistory.php	0	0.0	0	0	0	0	0	0	0	0	9	0.7915261385348684	0.65625	0.0	1.0303030303030303
20	http://www.thefreedictionary.com/sunfishes	0.47902097902097895	0.6122448979591837	3.0	6.0	0	0	0	0	0	0.34054054054054056	118	0.0	0.6774193548387096	11.66666666666667	0.7241379310344828
22	http://www.michigan.gov/dnr/0,4570,7-153-10364_53405-292814--,00.html	0.0	0.0	0	3.0	0	0	0	0	0	0.3181818181818182	14	0.49822066682993843	0.0	0.0	1.6153846153846154
23	http://www.michigan.gov/dnr/0,4570,7-153-10364---,00.html	0.0	0.0	0	0.0	0	0	0	0	0	0.0	20	0.0	0.0	0.0	0.0
24	http://fishing.about.com/od/Species-Profiles/tp/Facts-About-6-of-the-Most-Common-and-Popular-Sunfish-Species.htm	0	0.2763157894736842	0.35	0	0	0	0.0	0	0	0	45	4.132600914929545	0.2	9.465032800017323	0.35
25	http://fishing.about.com/od/Species/	0	0.0	0.0	0	0	0	0.0	0	0	0	40	0.0	0.0	0.0	0.0
26	http://www.ibnature.com/few-facts-on-sun-fish	0	0.0	3.583333333333334	0	0	0	0	0	0	0	3	4.356096308243441	0.0	0.0	0.0
27	https://www.sunfishdirect.com/	0.43523316062176165	0.40384615384615385	0	0	0.0	0	0.0	0	0	0	9	0.2058823529411765	1.1666666666666667	0.0	0.48837209302325585
28	http://www.roughfish.com/sunfishes	0	0.375	2.3333333333333335	0.0	0.0	0	0	0	0	0	2	0.0	0.9130434782608696	14.209154360393438	0.3106796116504854
29	http://www.gma.org/fogm/Mola_mola.htm	0	0	0	0.0	0	0	0	0	0	0	7	3.7062945088323813	0.3076923076923077	7.0	3.0
31	http://www.michigan.gov/dnr/0,4570,7-153-10364_53405-292814--,00.html	0.0	0.0	0	3.0	0	0	0	0	0	0.3181818181818182	14	0.49822066682993843	0.0	0.0	1.6153846153846154
32	http://www.michigan.gov/dnr/0,4570,7-153-10364---,00.html	0.0	0.0	0	0.0	0	0	0	0	0	0.0	20	0.0	0.0	0.0	0.0
33	http://www.petcha.com/pets/pygmy-sunfish/	0	0.7	1.6153846153846154	0	0.0	0.1122994652406417	0	0	0	0	8	3.6752173666010646	0.7	0.0	0.9545454545454546
34	http://encyclopedia2.thefreedictionary.com/sunfishes	0.2614107883817427	0.47767165720185856	3.0	8.625	0	0	0	0	0	0.34054054054054056	161	0.0	0.4666666666666667	9.333333333333334	0.7241379310344828
36	http://okiefish.com/TheSunfishPerch.htm	0.0	0	0	0	0	0	0	0	0	0.0	14	0.0	0.65625	0.14788732394366197	0.0
37	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=384	0.4772727272727273	0.0	0	0.0	0	0	0	0	0	0	28	0.0	0.0	1.7658227848101267	0.4772727272727273
38	https://bingsurf.com/sunfish-about/	1.6153846153846154	0	0	0.0	0.5384615384615384	0	0	0	0	0	0	0.3126375655003698	0.7777777777777777	0.0	0.8400000000000001
39	http://www.ibnature.com/few-facts-on-sun-fish	0	0.0	3.583333333333334	0	0	0	0	0	0	0	3	4.356096308243441	0.0	0.0	0.0
40	http://www.bbc.com/earth/story/20150209-giant-sunfish-reveals-secrets	0.0	0.0	0.6000000000000001	0.0	0.0	0	0	0	0	0.0	16	1.3664322798645188	0.3620689655172414	0.0	0.42857142857142855
41	http://www.toledo-bend.com/toledo_bend/index.asp?request=fish2	0.21875	0	0	0.0	0	13.09514354241584	0	0	0	0.05785123966942149	53	4.829504000586292	0.0	12.417724187577129	0.7777777777777777
42	http://dnr.sc.gov/fish/species/redbreastsunfish.html	0	0	0.0	1.2352941176470589	0	0	0	0	0	0	21	1.443768298787052	0.4666666666666667	0.0	0.5
43	http://www.infoplease.com/encyclopedia/science/sunfish.html	0.14482758620689656	0	3.0	0	0.0	0.0	0	0	0	1.6153846153846154	10	0.0	0.4375	2.625	3.0
44	http://www.infoplease.com/encyclopedia/0paanim.html	0	0	0	0	0.0	0	0	0	0	0	113	0.0	0.0	0.0	0.0
45	http://www.infoplease.com/encyclopedia/1vertz.html	0.0	0	0	0.0	0.0	0	0	0	0	0.0	109	0.0	0.0	0.0	0.0
46	http://outdooralabama.com/redear-sunfish	0.42000000000000004	0	1.5	0.0	0	0	0	0	0	0	26	0.0	0.6363636363636364	0.0	0.65625
47	http://www.sunfishdirect.com/store/configuration/	0	0.0	0.7	0	0	0	0.0	0	0	0	9	0.0	0.5526315789473684	0.0	0.7
49	http://deelyey.us/sunfishes.pdf	0.14285714285714285	0.8400000000000001	0	0	0	1.6153846153846154	0	0	0	0	3	0.17406542056074764	0.875	0.0	0.6774193548387096
51	https://twitter.com/sunfishes	0.3181818181818182	0.0	0	1.0	0.0	0.0	0	0	0	0	66	1.65	1.0	7.301960784313725	0.6176470588235294
52	https://www.igfa.org/species/234-sunfish-redear.aspx	0	0	0	0.0	0	0.0	0	0	0	0	15	0.0	0.5249999999999999	4.186231884057971	0
53	http://tpwd.texas.gov/huntwild/wild/species/longearsunfish/	0.21649484536082472	0.0	1.2352941176470589	0	0	0	0	0	0	0.0	16	0.0	0.40384615384615385	0.0	0.5833333333333334
54	https://en.wiktionary.org/wiki/sunfish	0	0.34375	3.0	0.0	0.0	0	0	0	0	0	23	0.0	0.7	0.0	1.0499999999999998
