index	url	description	div	h1	h2	h3	h4	h5	h6	inbound_links	keywords	outbound_links	p	root	span	title
1	http://www.thefreedictionary.com/shies	0.14754098360655737	0.0	0.0	0.0	0	0	0	0	0	0.0	90	0.0	0.0	0.0	0.0
2	http://www.yext.com/pl/yahoo-claims/index.html?yh_source=srp_locallist_n	0	0.0	0.0	0.0	0	0	0	0	0	0	5	0.0	0.0	0	0.0
3	http://www.dictionary.com/browse/shies	0.0	0.0	0	0	6.0	0	0	0	0	0.0	26	0.0	0.0	63.82407142554781	0.0
4	http://www.shoes.com/	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0	5	0.0	0.0	0.0	0.0
5	http://www.zappos.com/shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	10	0.0	0.0	0.0	0.0
7	http://www.6pm.com/shoes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	15	0.0	0.0	0.0	0.0
8	https://www.overstock.com/Clothing-Shoes/Shoes/29/dept.html	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	4	0.0	0.0	0.0	0.0
9	http://www.shoes.com/womens-shoes-list2_ct1/1/60	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	5	0.0	0.0	0.0	0.0
10	http://www.dsw.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	9	0	0.0	0.0	0.0
12	http://www.famousfootwear.com/	0.0	0	0	0	0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
13	http://www.target.com/c/shoes/-/N-55b0t	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0
14	https://www.collinsdictionary.com/dictionary/english/shies	0.1097560975609756	0.0	0.0	0.0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0
15	http://www.zappos.com/womens-shoes	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	9	0.0	0.0	0.0	0.0
16	http://www.shoecarnival.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	12	0.0	0.0	0.0	0.0
17	http://www.kohls.com/sale-event/shoes.jsp	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	12	0.0	0.0	0.0	0.0
18	http://www.dsw.com/	0.0	0.0	0	0	0	0	0	0	0	0.0	9	0	0.0	0.0	0.0
19	http://www.ebay.com/sch/i.html?_nkw=shoes	0.0	0.0	0	0.0	0.0	0	0	0	0	0	3	0.0	0.0	0.0	0.0
21	http://www.payless.com/home	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	11	0.0	0.0	0.0	0.0
22	http://www.shiekhshoes.com/	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	265	0.0	0.0	0.0	0.0
23	http://shop.nordstrom.com/c/womens-shoes	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	23	0.0	0.0	0.0	0.0
26	http://www.aldoshoes.com/us/en_US	0.0	0.0	0	0.0	0.0	0	0	0	0	0	13	0.0	0.0	0.0	0.0
27	http://www.ebay.com/sch/i.html?_nkw=shoes	0.0	0.0	0	0.0	0.0	0	0	0	0	0	3	0.0	0.0	0.0	0.0
28	http://www.journeys.com/	0	0	0	0	0.0	0	0	0	0	0	7	0	0.0	0.0	0.0
29	http://shop.nordstrom.com/c/womens-shoes	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	22	0.0	0.0	0.0	0.0
30	http://www.shiekhshoes.com/	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	265	0.0	0.0	0.0	0.0
31	https://www.timberland.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	18	0.0	0.0	0.0	0.0
32	http://www.offbroadwayshoes.com/	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
33	http://www.famousfootwear.com/womens	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	9	0.0	0.0	0.0	0.0
34	http://www.forever21.com/Product/Category.aspx?category=shoes	0.0	0.0	0	0	0.0	0	0	0	0	0	25	0.0	0.0	0.0	0.0
36	http://www.offbroadwayshoes.com/	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	8	0.0	0.0	0.0	0.0
37	https://www.rackroomshoes.com/	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	14	0.0	0.0	0.0	0.0
38	https://www.shiekhshoes.com/	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	265	0.0	0.0	0.0	0.0
39	http://www.justfab.com/	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	14	0	0.0	0.0	0.0
40	http://www.adidas.com/us/men-shoes	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	14	0.0	0.0	0.0	0.0
41	https://www.amiclubwear.com/shoes.html	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0	6	0.0	0.0	0.0	0.0
